strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
6260.0,0.0,0.0,0.0,0.0,0.0,1180.0,-908773264.0676682,-18908449.407458104,159976479.2278915,5672922.695670885,-908773264.0676682,-18908449.407458104,159976479.2278915,5672922.695670885,
6265.0,1.0,1096512.3702634731,647901.9610805683,-123494.26643587997,-26397.60045529067,351.0,-48307210.03622002,-225737.2133142112,7790613.32187579,1166074.4613695818,-47210697.66595655,422164.74776635703,7667119.05543991,1139676.860914291,
6270.0,57.0,61594085.12013667,36955448.12570424,-6997310.725802295,-1458636.8749314311,5088.0,-2054950544.4205465,-35521589.797501996,349042491.9914229,20490465.529386293,-1993356459.3004098,1433858.3282022402,342045181.2656206,19031828.65445486,89.26315789473684
6275.0,366.0,551834062.4520168,234747442.2493346,-58632361.710146025,-12310245.637335496,9133.0,-7283130057.414488,-127759775.87339959,1279497292.6160722,49625826.521455936,-6731295994.962471,106987666.37593502,1220864930.9059262,37315580.88412044,24.953551912568305
6280.0,89.0,200862704.77995288,53954361.15555467,-27070745.04394674,-1886870.7705907016,1884.0,-2017003471.768602,-36981496.717159666,349444828.8012556,11712918.878903154,-1816140766.988649,16972864.438395,322374083.75730884,9826048.108312452,21.168539325842698
6285.0,0.0,0.0,0.0,0.0,0.0,935.0,-288902645.57108057,-1526394.5676268884,42060193.777975895,6512003.704302188,-288902645.57108057,-1526394.5676268884,42060193.777975895,6512003.704302188,
6290.0,2.0,2556972.3601653995,1293729.3484744239,-282789.7213596029,-56505.952177686486,2069.0,-3311377266.2425165,-53672598.08637319,577835230.98213,17413470.74035737,-3308820293.882351,-52378868.73789877,577552441.2607704,17356964.788179684,
6295.0,0.0,0.0,0.0,0.0,0.0,4425.0,-670426370.5029829,-2845542.2443393804,107908899.71124326,14589405.530823704,-670426370.5029829,-2845542.2443393804,107908899.71124326,14589405.530823704,
6300.0,10412.0,13101294684.245398,6739996672.48874,-1479094522.1841855,-275862546.7877307,28463.0,-37125746742.99662,-726320069.6690687,6116551633.388341,232480908.17540306,-24024452058.75122,6013676602.819672,4637457111.204155,-43381638.612327635,2.7336726853630426
6305.0,0.0,0.0,0.0,0.0,0.0,433.0,-142630501.1328877,-702667.8831225514,20756293.05331888,2989643.4209539127,-142630501.1328877,-702667.8831225514,20756293.05331888,2989643.4209539127,
6310.0,19.0,27314149.3271009,12276586.892975265,-2984996.9685834646,-560603.6228235522,1338.0,-1703709028.4070573,-25628743.90588523,279072490.55671805,11570112.650075762,-1676394879.0799563,-13352157.012909966,276087493.5881346,11009509.027252208,70.42105263157895
6315.0,0.0,0.0,0.0,0.0,0.0,2448.0,-1246722281.1343424,-6550398.75727842,171279809.3083981,25141709.50204406,-1246722281.1343424,-6550398.75727842,171279809.3083981,25141709.50204406,
6320.0,0.0,0.0,0.0,0.0,0.0,6719.0,-20215222596.623398,-365678878.55759823,3203473364.8040752,75146231.3278569,-20215222596.623398,-365678878.55759823,3203473364.8040752,75146231.3278569,
6325.0,5.0,19256296.911055997,2735001.399129083,-2459851.2142582797,-53303.32630817304,19529.0,-30933750329.442585,-514503821.1981393,4741332713.297135,188671129.25638834,-30914494032.53153,-511768819.7990102,4738872862.082877,188617825.93008018,
6330.0,24.0,49069729.71457601,15358915.563761817,-4900490.182924913,-929378.8820871349,2207.0,-4451598149.473358,-84693175.61608729,677545658.1865561,19413889.943856616,-4402528419.758782,-69334260.05232547,672645168.0036312,18484511.06176948,91.95833333333333
6335.0,0.0,0.0,0.0,0.0,0.0,641.0,-325202445.8874662,-1531951.7995233757,45390586.97993153,6047384.304348521,-325202445.8874662,-1531951.7995233757,45390586.97993153,6047384.304348521,
6340.0,7.0,24426604.03662405,3957247.3609594833,-2965274.2850790983,-119039.84069050426,4315.0,-8153412024.40787,-138812141.0936678,1198391570.4974124,46367802.51078428,-8128985420.371246,-134854893.73270833,1195426296.2123334,46248762.67009378,
6345.0,1.0,2127141.9901934797,640648.45910197,-214509.72319241357,-37799.56800920257,560.0,-245650602.43501404,-1071841.4845059584,35041650.55227548,4375725.431830332,-243523460.44482055,-431193.02540398843,34827140.82908306,4337925.863821129,
6350.0,6288.0,16102144096.845768,3966720643.4855647,-1584615098.2028599,-256819038.60924375,27492.0,-38297143072.88362,-676183892.0726258,5395992527.3912735,266107790.40318704,-22194998976.037853,3290536751.412939,3811377429.1884136,9288751.793943286,4.372137404580153
6355.0,82.0,170146022.46504736,52681481.95200924,-17595930.314199183,-2891450.6932793716,2194.0,-1304632820.8235943,-5985713.656850288,177022147.03240585,22211007.980288062,-1134486798.358547,46695768.29515895,159426216.71820667,19319557.28700869,26.75609756097561
6360.0,0.0,0.0,0.0,0.0,0.0,4966.0,-11002823722.074072,-159692027.56742284,1553849552.8573947,67652269.44329883,-11002823722.074072,-159692027.56742284,1553849552.8573947,67652269.44329883,
6365.0,1.0,2527759.198997634,638218.788917426,-247375.58257857512,-40966.21664699313,1119.0,-767549153.9568832,-3398741.050043186,103298751.3036105,12466564.102365889,-765021394.7578856,-2760522.26112576,103051375.72103193,12425597.885718895,
6370.0,48.0,101093612.69374412,30900017.875148214,-10659950.522813339,-1600063.1412810474,6345.0,-25972550124.030376,-436506171.7926589,3574608552.0243134,84919515.51163536,-25871456511.33663,-405606153.9175107,3563948601.5015,83319452.37035431,132.1875
6375.0,14.0,43028936.464819066,6631038.807853638,-3397032.387781444,-233893.48054227914,12165.0,-35174350459.98292,-570313845.5559785,4711759642.022208,154836985.55998322,-35131321523.5181,-563682806.748125,4708362609.634427,154603092.07944095,868.9285714285714
6380.0,54.0,161626434.60634917,34241091.71091889,-15033507.501322497,-2429580.101792531,6657.0,-11112504588.829094,-173282714.01320153,1467044681.7837076,69870503.85048395,-10950878154.222744,-139041622.30228263,1452011174.282385,67440923.74869142,123.27777777777777
6385.0,5.0,12008554.739675166,3212461.4279684895,-1244001.4328262205,-176026.7472528066,1354.0,-1768633192.7463307,-8351534.661948819,216358781.39534736,25953228.67475394,-1756624638.0066555,-5139073.23398033,215114779.96252114,25777201.927501135,
6390.0,38.0,123137142.10290158,23747821.328017008,-11754342.145396752,-1576971.4772798242,4742.0,-11668335793.32483,-176987893.01957425,1476419050.1428924,67603900.99080601,-11545198651.221928,-153240071.69155726,1464664707.9974957,66026929.51352619,124.78947368421052
6395.0,0.0,0.0,0.0,0.0,0.0,1702.0,-2555337357.5981097,-11867225.974200916,306297446.18390226,35504560.9010949,-2555337357.5981097,-11867225.974200916,306297446.18390226,35504560.9010949,
6400.0,162.0,687890188.0380908,92210073.4907836,-66557600.223929405,-4502178.19985375,39899.0,-141392468743.22418,-2000497679.1545522,17408663861.844727,728177181.0056547,-140704578555.1861,-1908287605.6637685,17342106261.620796,723675002.8058009,246.29012345679013
6405.0,7.0,25582615.964033112,4424920.508889499,-2342487.336404909,-334963.44312166807,1106.0,-1987987900.0909033,-9216451.58889819,231126352.30056804,26072315.650882624,-1962405284.1268702,-4791531.08000869,228783864.96416312,25737352.207760956,
6410.0,24.0,90262922.836168,14363392.369755562,-8747863.732431956,-748736.8950189741,4969.0,-16156466526.43884,-241191360.3353661,1840114724.1590083,97711819.56440823,-16066203603.602673,-226827967.96561053,1831366860.4265764,96963082.66938925,207.04166666666666
6415.0,4.0,13343390.473610552,2552313.9406615165,-1306526.3476256276,-164473.21015612286,3255.0,-9429012767.777575,-116133190.77282241,1076225625.5599928,65683630.16401323,-9415669377.303965,-113580876.83216089,1074919099.212367,65519156.95385711,
6420.0,33.0,163480779.64719033,19604482.82031765,-13764916.276076367,-1560862.0616090032,6498.0,-25006865844.561356,-398091268.20990986,2640326609.426926,158674964.97968155,-24843385064.914165,-378486785.38959223,2626561693.15085,157114102.91807255,196.9090909090909
6425.0,829.0,4046348025.17653,501301288.9214412,-343207988.6840697,-40593527.97347043,22167.0,-104943104108.62955,-1442225521.758779,11555853081.590328,478170204.0223724,-100896756083.45302,-940924232.8373379,11212645092.906258,437576676.048902,26.7394451145959
6430.0,12.0,60864776.86880957,6544495.373862134,-5264429.697923156,-300193.2817879256,5094.0,-20054926872.088806,-243361569.07782763,2083076127.4355505,138632782.68498468,-19994062095.219997,-236817073.70396549,2077811697.7376273,138332589.40319675,424.5
6435.0,6.0,29375302.703033384,3761766.8405314195,-2559685.091077239,-316407.81176799926,2363.0,-8392399940.786671,-105973565.40176657,896964213.9998373,48554778.62778557,-8363024638.083637,-102211798.56123514,894404528.9087601,48238370.81601757,
