strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
6260.0,0.0,0.0,0.0,0.0,0.0,1180.0,-826697902.5180316,-22465351.438091125,133731553.42179054,2166958439.8707,-826697902.5180316,-22465351.438091125,133731553.42179054,2166958439.8707,
6265.0,1.0,0.0,662470.01953125,0.0,0.0,351.0,-138611153.79574993,-1011399.4915364851,18879826.419765837,1402740833.759382,-138611153.79574993,-348929.47200523515,18879826.419765837,1402740833.759382,351.0
6270.0,57.0,0.0,37760791.11328125,0.0,0.0,5088.0,-3135219112.9121284,-52219323.03457372,452105670.56006205,20579092507.249123,-3135219112.9121284,-14458531.921292469,452105670.56006205,20579092507.249123,89.26315789473684
6275.0,366.0,0.0,242464027.1484375,0.0,0.0,9133.0,-6896954962.966392,-158342322.143252,1105997460.5746531,19973447748.782295,-6896954962.966392,84121705.00518551,1105997460.5746531,19973447748.782295,24.953551912568305
6280.0,89.0,37680837.17114123,53926568.80603506,-576872.4088220452,-292666477.89238954,1884.0,-1899917680.1254952,-45706255.815119535,299409299.69678307,4762235813.622181,-1862236842.954354,8220312.990915522,298832427.287961,4469569335.729792,21.168539325842698
6285.0,0.0,0.0,0.0,0.0,0.0,935.0,-133048231.54143813,-984286.3000188185,17410635.632151183,1269257692.0445347,-133048231.54143813,-984286.3000188185,17410635.632151183,1269257692.0445347,
6290.0,2.0,0.0,1324940.0390625,0.0,0.0,2069.0,-3451613904.762738,-71173251.99502635,534589248.5256227,9450234649.188658,-3451613904.762738,-69848311.95596385,534589248.5256227,9450234649.188658,1034.5
6295.0,0.0,0.0,0.0,0.0,0.0,4425.0,-1273443925.5890782,-7613245.595408385,184435852.78165573,11790811604.779808,-1273443925.5890782,-7613245.595408385,184435852.78165573,11790811604.779808,
6300.0,10412.0,0.0,6897637843.359375,0.0,0.0,28463.0,-30257575253.574398,-831492506.3612182,4595726332.993907,60580604117.28598,-30257575253.574398,6066145336.998157,4595726332.993907,60580604117.28598,2.7336726853630426
6305.0,0.0,0.0,0.0,0.0,0.0,433.0,-53580700.629562706,-321757.5464575461,7609054.217930995,480621011.9204398,-53580700.629562706,-321757.5464575461,7609054.217930995,480621011.9204398,
6310.0,19.0,0.0,12586930.37109375,0.0,0.0,1338.0,-1752912873.8897996,-33921842.324978516,252683455.5941466,5906636165.572108,-1752912873.8897996,-21334911.953884766,252683455.5941466,5906636165.572108,70.42105263157895
6315.0,0.0,0.0,0.0,0.0,0.0,2448.0,-397440317.7542118,-3070140.917221368,48157358.36497614,3446680943.421363,-397440317.7542118,-3070140.917221368,48157358.36497614,3446680943.421363,
6320.0,0.0,0.0,0.0,0.0,0.0,6719.0,-18133516512.45859,-445412287.5315135,2593970699.7883625,29653761757.092415,-18133516512.45859,-445412287.5315135,2593970699.7883625,29653761757.092415,
6325.0,5.0,0.0,3312350.09765625,0.0,0.0,19529.0,-24998684728.981174,-597862476.2262137,3529301919.1912236,52235820992.58264,-24998684728.981174,-594550126.1285574,3529301919.1912236,52235820992.58264,3905.8
